OBJECTID,DATE,Facility_Type,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_George_s,Queen_Anne_s,Somerset,St_Mary_s,Talbot,Washington,Wicomico,Worcester
55,04/29/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",17,143,232,172,2,0,69,16,40,0,148,0,29,41,10,382,173,3,0,7,0,6,2,3
56,04/29/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",73,273,526,490,0,0,203,53,113,0,203,0,82,117,57,717,296,0,0,12,0,6,6,3
57,04/29/2020 10:00:00 AM,Staff: State and Local Affected Facilities,3,133,13,66,0,0,3,0,2,0,0,0,0,1,0,3,31,0,1,0,0,2,1,0
58,04/29/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
59,04/29/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,52,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,04/29/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,05/06/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",25,169,299,220,3,0,70,15,49,1,161,0,42,43,14,512,245,4,0,8,0,5,4,6
62,05/06/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",64,337,791,524,0,0,235,61,136,0,236,0,134,137,60,1000,542,0,0,15,0,11,31,9
63,05/06/2020 10:00:00 AM,Staff: State and Local Affected Facilities,3,136,14,69,0,0,4,0,3,0,0,0,0,1,0,2,31,0,1,0,0,2,1,0
64,05/06/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
65,05/06/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,55,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,05/06/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,05/13/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",31,173,396,272,0,0,44,15,56,2,161,0,57,51,15,603,289,4,0,15,0,5,13,7
68,05/13/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",81,394,1047,656,0,0,172,86,133,0,279,0,169,140,76,1333,622,0,0,56,0,19,42,24
69,05/13/2020 10:00:00 AM,Staff: State and Local Affected Facilities,3,155,17,91,0,0,7,0,3,3,0,0,0,14,0,2,33,0,5,1,0,0,1,0
